Accession,Unigene,Gene,Ratio,ttest
BG884612,567180,DKEYP-100A1.3,3.846976,1.54E-06
AB023488,30197,dkk1b,3.476812,8.99E-10
AW281816,324201,dlat,0.672855,1.98E-04
NM_130944,30120,dlc,0.632195,1.44E-03
NM_201506,399479,dldh,0.786896,1.44E-04
NM_199526,114446,dlg1,0.936187,1.43E-03
NM_001098742,564081,dlg3,1.964332,2.25E-06
BM026385,569898,dlgap1,1.397853,1.10E-02
NM_201487,368262,dlst,0.819019,3.02E-02
U67842,30568,dlx1a,1.735212,6.28E-04
U03875,30574,dlx2a,3.452049,1.12E-09
NM_131297,30557,dlx2b,3.001269,3.40E-07
AW059102,30585,dlx3b,3.873982,1.16E-10
NM_131300,30561,dlx4a,3.49244,2.97E-10
U67845,30581,dlx4b,3.975936,5.74E-10
NM_131306,30569,dlx5a,3.783186,6.19E-13
NM_131323,30586,dlx6a,1.651691,3.66E-04
NM_152977,142987,dmbx1a,0.875526,4.51E-02
NM_130952,30129,dmrt2a,1.215892,6.93E-07
AF272962,286781,dmrta2a,1.40951,2.29E-06
AW594819,336886,dmxl1,1.010166,1.61E-04
NM_201342,394242,dnaja3b,0.894605,1.26E-02
NM_200305,393275,dnajb6,2.668521,1.12E-06
NM_200246,393216,dnajc17,1.003191,4.11E-05
NM_200452,393424,dnajc24,1.087108,1.10E-03
AW019064,792196,dnase1l3,1.409975,4.47E-04
NM_131189,30430,dnmt1,1.716112,7.83E-04
AF135438,30659,dnmt3,0.786684,8.56E-04
NM_001020476,321084,dnmt7,1.918528,2.26E-08
CK690849,403040,dock8,1.258267,2.90E-04
