#Summary of results from all benchmarks
NoAnnotations,Threshold,Method,EnrichmentSetUsed,TissuesTested,GenesSubmitted,TissuesReturned,GenesUsed,AvgFold,AvgQ
100,0.96,avg,WBPaper00024505_pharyngeal_enriched_WBbt_0003681_329,123,329,15,-4599,2.6054484846456023,0.0057753618282450825
100,0.96,avg,WBPaper00024970_GABAergic_neuron_specific_WBbt_0005190_247,123,247,55,-4679,3.1158382791814683,0.0038829353550817983
100,0.96,avg,WBPaper00026980_intestine_enriched_WBbt_0005772_1970,123,1970,13,-2458,1.2897483656318836,0.01411538309665002
100,0.96,avg,WBPaper00031003_0hr_muscle_enriched_WBbt_0003675_761,123,761,17,-3968,2.4093235839324336,0.003972476769707327
100,0.96,avg,WBPaper00031003_24hr_muscle_enriched_WBbt_0003675_918,123,918,14,-3785,2.2816653878187143,0.0025326026065846637
100,0.96,avg,WBPaper00031003_total_muscle_enriched_WBbt_0003675_1285,123,1285,14,-3286,2.2482395920464397,0.00016191933205338208
100,0.96,avg,WBPaper00031532_Larva_Pan_Neuronal_Enriched_WBbt_0003679_1603,123,1603,67,-2740,2.3345510988519367,0.0009315213355647405
100,0.96,avg,WBPaper00036375_enriched_in_PVD_OLL_WBbt_0006831_2180,123,2180,78,-1892,1.4031816546014626,0.005493821210458124
100,0.96,avg,WBPaper00037950_all-neurons_larva_enriched_WBbt_0003679_1013,123,1013,64,-3670,3.0554998204335684,0.0007652884820204888
100,0.96,avg,WBPaper00037950_AVA-neuron_embryo_enriched_WBbt_0005842_534,123,534,10,-4364,2.1776215240386225,0.007750792304169131
100,0.96,avg,WBPaper00037950_BAG-neuron_embryo_enriched_WBbt_0006825_454,123,454,50,-4401,3.614113375217909,0.0033585989268584845
100,0.96,avg,WBPaper00037950_coelomocytes_embryo_enriched_WBbt_0005751_570,123,570,8,-4304,1.710429673539497,0.029268157401276335
100,0.96,avg,WBPaper00037950_coelomocytes_larva_enriched_WBbt_0005751_229,123,229,1,-4784,4.838632560363376,0.003501870861874303
100,0.96,avg,WBPaper00037950_dopaminergic-neurons_embryo_enriched_WBbt_0006746_466,123,466,62,-4405,3.1127410369172397,0.002164084905604643
100,0.96,avg,WBPaper00037950_dopaminergic-neurons_larva_enriched_WBbt_0006746_1230,123,1230,60,-3422,1.9887227822351252,0.001549068871005665
100,0.96,avg,WBPaper00037950_excretory-cell_larva_enriched_WBbt_0005812_528,123,528,7,-4358,3.610544526792832,0.0009089437455912098
100,0.96,avg,WBPaper00037950_GABAergic-motor-neurons_embryo_enriched_WBbt_0005190_361,123,361,58,-4539,2.637527398323456,0.0075468644015975585
100,0.96,avg,WBPaper00037950_GABAergic-motor-neurons_larva_enriched_WBbt_0005190_132,123,132,33,-4877,3.3494808053819956,0.011897009441188353
100,0.96,avg,WBPaper00037950_germline-precursors_embryo_enriched_WBbt_0006849_974,123,974,6,-3813,1.9806225147209913,0.008535795089222373
100,0.96,avg,WBPaper00037950_hypodermis_embryo_enriched_WBbt_0005733_734,123,734,7,-4134,2.238465836665564,0.00018556061377909673
100,0.96,avg,WBPaper00037950_hypodermis_larva_enriched_WBbt_0005733_1250,123,1250,10,-3498,1.8731770577113611,0.018219445436310197
100,0.96,avg,WBPaper00037950_intestine_embryo_enriched_WBbt_0005772_886,123,886,5,-3888,1.9670196623092298,0.005769664261675205
100,0.96,avg,WBPaper00037950_intestine_larva_enriched_WBbt_0005772_946,123,946,4,-3917,1.9875494759056702,2.2564111881137817e-05
100,0.96,avg,WBPaper00037950_pharyngeal-muscle_embryo_enriched_WBbt_0005451_598,123,598,2,-4279,1.7020037077981616,0.022921757550539032
100,0.96,avg,WBPaper00037950_PVD-OLL-neurons_larva_enriched_WBbt_0006831_878,123,878,0,-3901,nan,nan
100,0.96,avg,WBPaper00040420_ALM_PLM_enriched_WBbt_0005406_198,123,198,15,-4778,3.185321428184936,0.005054940127386211
100,0.96,avg,WBPaper00040420_FLP_enriched_WBbt_0006828_288,123,288,28,-4667,3.0338583247940996,0.00544096933946222
